username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@chocovanilaa_,"Hari kedua halangan, bukannya rebahan malah muterin prj. Kemaren pas jalan biasa aja, sekarang baru berasa sakit semuaa",in,,,,7,2023-07-09T03:43:24.000Z,/chocovanilaa_/status/1677886142421803009
@imanks49,K prj yok,in,,,,3,2023-07-09T03:43:10.000Z,/imanks49/status/1677886082392944641
@desyourhope,"Help rt ya guys

Guyss disini ada yang pake avoskin? Aku mau jual ada lebihan beli di prj karna promo jadi 40k/pc aja ini exp aman ya masih sampe september 2023",in,,,,6,2023-07-09T03:42:29.000Z,/desyourhope/status/1677885911848345610
@chocovanilaa_,"Pas kemaren di prj, ada tas yg masuk wishlist gua. Pas liat langsung, ternyata biasa aja:(",in,,,,6,2023-07-09T03:41:39.000Z,/chocovanilaa_/status/1677885701206212608
@fourryilly,Aneh bgt pesen tiket prj kudu ada kolom nik. Buat ape?,in,,,,4,2023-07-09T03:38:56.000Z,/fourryilly/status/1677885017199087618
@_Sicboy,"Busyet, kek PRJ, gimana bisa nikmatin hasil karya. Gue ngadep Art aja bisa berlama-lama, karena sometimes nikmatin Art begini harus improved, klo berisik dan riweuh gini, cabut dr List Visit,...",in,,,,79,2023-07-09T03:37:40.000Z,/_Sicboy/status/1677884700176814086
@phytagoraw,ada yang hari ini ke prj kah? mau cari barengan,in,1,,,10,2023-07-09T03:35:35.000Z,/phytagoraw/status/1677884176228581377
@heyitsmonde,Kok rame gak beraturan kayak PRJ ,in,,,,38,2023-07-09T03:27:28.000Z,/heyitsmonde/status/1677882134059679744
@dnsiwnn,Halo mau tanya untuk hari ini mau ke prj dari bekasi timur naik transjakarta apa ya?,in,,,,14,2023-07-09T03:21:01.000Z,/dnsiwnn/status/1677880509215678464
@peaaachtachio,testi jastip prj payment tgl 08/07/2023 thank you so much for trusting me! yang mau titip titip bisa cek @jastipsamatia atau dm tw @peaaachtachio yah,in,,,,12,2023-07-09T03:15:43.000Z,/peaaachtachio/status/1677879174512676864
@sleepgaze,konser prj mulainya jam berapa,in,1,,,73,2023-07-09T03:14:14.000Z,/sleepgaze/status/1677878799936155649
@wulanhunter17_,apakah aku harus buka jastip di PRJ?,in,,,,15,2023-07-09T03:12:04.000Z,/wulanhunter17_/status/1677878258044661760
@vaaveevoo,"Tbtb ngevc, laporan kalo lg di studio, pdhl aku mau ke prj. Kalo kaya gini kan jd ga berangkat2 tp kangen banget",in,,,,11,2023-07-09T03:08:11.000Z,/vaaveevoo/status/1677877281275121664
@fluffyssjaem,"Aku mau istirahat aja hari ini, capek banget habis dari prj",in,1,,,13,2023-07-09T03:06:39.000Z,/fluffyssjaem/status/1677876894732292096
@matcharinaa,kau ke prj ngecek harga hp cih beli popes lah,in,1,,,13,2023-07-09T03:05:07.000Z,/matcharinaa/status/1677876506675249153
@fatmadina,Mending ke PRJ gue bisa sambil makan ,in,,,,32,2023-07-09T03:01:22.000Z,/fatmadina/status/1677875563678294017
@stillsukk,prj yuk?,in,1,,,39,2023-07-09T03:00:58.000Z,/stillsukk/status/1677875461857382400
@unitlokal,"The upstaits sama the adams di prj
Gas ga nih?",in,,,,22,2023-07-09T03:00:11.000Z,/unitlokal/status/1677875264922206209
@boobamilktae,"done rules
Bismillah, mau yg hitam kak mut",in,,,,12,2023-07-09T03:00:05.000Z,/boobamilktae/status/1677875242629480448
