username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@leoralya,"Wts tiket prj (pekan raya jakarta) 
Untuk Hari ini (Minggu 9 juli 2023). Minat dm 

 Gk pakai konser
 2 tiket",in,1,,,37,2023-07-09T10:57:09.000Z,/leoralya/status/1677995296582930432
@leoralya,"Wts tiket prj (pekan raya jakarta) buat hari ini 9 juli 2023, minat dm ya",in,,,,31,2023-07-09T10:54:54.000Z,/leoralya/status/1677994731127857153
@steamshrimp,"Yang masih mau jastip momogi boleh dm aku yaa, aku tunggu sampe jam 8 malem hari inii!, only momogi yaa @ 18k , ada semua rasa (jagung bakar, keju, coklat, kimchi, balado, coco pandan) 

tg jastip prj, jastip pekan raya jakarta",in,,,,34,2023-07-09T10:27:35.000Z,/steamshrimp/status/1677987859482169344
@gijibear,"wts 2 tiket konser VIP prj/pekan raya jakarta/jakarta fair hari ini, 9 juli, 200k ajaaaa plissss. guest: the adams, the sigit, the upstairs",in,1,,,70,2023-07-09T09:34:20.000Z,/gijibear/status/1677974456944447488
@SahabatPLNJkt,"Nah, sekarang giliran electrizen share disini kegiatan akhir pekan kalian. 
#pln
#pln_disjaya
#unleashingenergyandbeyond
#happyweekend
#kegiatanakhirpekan",in,,,,19,2023-07-09T09:19:30.000Z,/SahabatPLNJkt/status/1677970725951668225
@SahabatPLNJkt,"Biasanya apa sih yang electrizen lakukan saat menghabiskan akhir pekan di rumah?

Kalau mimin sukanya bersih-bersih rumah pakai vacuum cleaner agar hunian bebas debu dan nyaman ditinggali.",in,1,,,60,2023-07-09T09:19:30.000Z,/SahabatPLNJkt/status/1677970723011452931
@Beritasatu,"Pekan Raya Jakarta (PRJ), event tahunan terbesar di Jakarta memasuki pekan terakhirnya dengan kunjungan yang ramai dari masyarakat.",in,,,,495,2023-07-08T11:29:04.000Z,/Beritasatu/status/1677640942898286592
@jalur5_,"Kemacetan masuk Pekan Raya Jakarta Kemayoran hari ini (8/7). Semakin sore, area PRJ Kemayoran terutama Jl. Benyamin Suaeb akan semakin macet efek banyak orang mencari parkir di lahan utama JIEXPO.

Pic: @rycxu.13",in,1,1,6,"1,688",2023-07-08T09:37:42.000Z,/jalur5_/status/1677612915812352000
@mschoiyu,PRJ more like Perkumpulan Rakyat Jabodetabek than Pekan Raya Jakarta,in,,,,108,2023-07-08T08:51:14.000Z,/mschoiyu/status/1677601224269635585
@disbuddki,"Dukungan yang diberikan dari Sudinbud Jakarta Barat berupa penampilan kesenian terpilih dari Samrah Nusantara. Mau lihat persembahan seni budaya lainnya dari Disbud DKI? Kunjungi Pekan Raya Jakarta mulai dari 14 Juni - 16 Juli di Kemayoran, Jakarta Pusat.

Jangan sampai terlewat.",in,,,,31,2023-07-08T08:49:41.000Z,/disbuddki/status/1677600832106422272
@disbuddki,"Dinas Kebudayaan Provinsi DKI Jakarta melalui Suku Dinas Kebudayaan Jakarta Barat memberikan dukungan kebudayaan pada perayaan Pekan Raya Jakarta tahun 2023, Selasa, 4 Juli 2023.

#DisbudDKI",in,1,,,88,2023-07-08T08:49:39.000Z,/disbuddki/status/1677600826418954240
@Beritasatu,Ajang kecantikan atau beauty pageant contest yang digelar untuk memeriahkan Pekan Raya Jakarta (PRJ) atau Jakarta Fair Kemayoran (JFK) akan diadakan malam ini.,in,,,,486,2023-07-08T07:57:34.000Z,/Beritasatu/status/1677587717188911105
@Sillyiliy,"Dapet Tiket Konser Gratis di Jakarta Fair Kemayoran.

Di hari Jum’at pagi tuh temen kantor heboh ngajak ke PRJ / Pekan Raya Jakarta / Jakarta Fair, aku yg notabene suka cape kalo ke tempat rame awalny nolak tp akhirny mau ya sesekali katanya org kampung biar tau PRJ kek mana hmm",in,1,,,229,2023-07-08T07:49:38.000Z,/Sillyiliy/status/1677585722700881922
@Beritasatu,"Setelah 25 hari berlangsung, Pekan Raya Jakarta (PRJ) atau Jakarta Fair 2023 telah dikunjungi lebih dari tiga juta orang.",in,,,,516,2023-07-08T04:01:35.000Z,/Beritasatu/status/1677528331707899911
@IndahLogistikId,"Siapa yang udah ke Pekan Raya Jakarta atau PRJ? Atau ada yang belum sama sekali ke sana? Huhu sama dong kayak mimin 

Serunya ke PRJ itu, selain banyak diskon, banyak juga stand makanan, dan bisa nonton konser juga lhoo...
Nah, biasanya apa sih yang kamu incar kalo ke PRJ??",in,,,,95,2023-07-08T03:37:24.000Z,/IndahLogistikId/status/1677522244162191360
