username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@ridooetoro1,Handuk dengan logo bordir PRJ min. Atau mug dan kaos logo PRJ .. merchandise PRJ layak jadi oleh-oleh nan spesial. Atau dirimu @txtdrjkt hendak menghadiahi kepada ogut ..? Ogut tunggu yaa .. ,in,,,,49,2023-06-22T23:58:54.000Z,/ridooetoro1/status/1672031440857448452
@AyamChicken___,PRJ tahun 2005 mereka bawain lagu²nya Limp Bizkit,in,1,,,167,2023-06-22T23:51:00.000Z,/AyamChicken___/status/1672029449603407874
@elsafauziaP,"Diajakin ke prj nonton maliq kata suami. Trs mikir ntar anak gmn, yg nyusuin siapa, anteng ga ya gue tinggal, kalo dibawa ribet amat ya, kalo tantrum gmn, kalo ini itu bla bla. 
Aduh udah deh emak"" blm bisa nonton begituan, msh repot minimal anak udh disapih kali ya ",in,,,,146,2023-06-22T23:46:03.000Z,/elsafauziaP/status/1672028205426044928
@chuhwii,"lgi makan seblak mamany rafael kali ya, apa lagi main di prj",in,1,,,31,2023-06-22T23:39:22.000Z,/chuhwii/status/1672026523447218177
@haengbokzaa_,"guwt mowning…
check check check 
PRJ GUYS… GASSSS NIH CARATDEUL ",in,,,1,103,2023-06-22T23:34:15.000Z,/haengbokzaa_/status/1672025234059436032
@ealahrani,Yawlah kuingin prj,in,1,,,39,2023-06-22T23:16:06.000Z,/ealahrani/status/1672020666365935616
@primaseungwoo,Siapa tau nanti jadi ke prj,in,,,,56,2023-06-22T23:12:28.000Z,/primaseungwoo/status/1672019753056235520
@gumpvie,Jembatan merah kak biar deket. Tp ada kok skrg yg langsung ke halte PRJ nya,in,,,,242,2023-06-22T23:12:03.000Z,/gumpvie/status/1672019646927761408
@arlyanasyakhira,Ada yang buka jastip snack prj gak sih wkwk kek nya enak,in,4,,,341,2023-06-22T23:09:41.000Z,/arlyanasyakhira/status/1672019053416968194
@taufikuieks,Mau tanya min kalau dari bekasi barat nau ke PRJ naik apa aja,in,1,,,85,2023-06-22T23:09:27.000Z,/taufikuieks/status/1672018993362915329
@revwers,baru bikin rencana mau ke PRJ,in,,,,129,2023-06-22T23:05:36.000Z,/revwers/status/1672018024461893632
@dailyyantomeng,enak ya jadi orang jkt bisa ke prj,in,1,1,1,96,2023-06-22T23:04:40.000Z,/dailyyantomeng/status/1672017791069863936
@rezaayu78,itu di prj yah bang ?,in,,,,81,2023-06-22T23:04:31.000Z,/rezaayu78/status/1672017750771011585
@BimaBagaskaraa,Abis muter muter PRJ yaa kak Jeen,in,,,,94,2023-06-22T22:59:25.000Z,/BimaBagaskaraa/status/1672016469713092609
@bubuk_mericha,Pengen ke prj,in,,,,60,2023-06-22T22:57:55.000Z,/bubuk_mericha/status/1672016090904563713
@fikrii215,"Pengalaman tahun kemaren ke prj parkir mobilnya banyak pungli, ditutup semua tuh sama petugasnya padahal masih banyak space kosong kecuali kita kita bilang ke dia mau bayar baru dibukain gila emang maunya gocap lagi",in,1,,5,"4,621",2023-06-22T22:56:57.000Z,/fikrii215/status/1672015850298294274
@kissesandblue,Prj 9 Juli menarik kesana ah,in,1,,,140,2023-06-22T22:49:35.000Z,/kissesandblue/status/1672013994482348032
@yunseongable,Jadi tkt mau ke prj banyak copet,in,,,,2,2023-06-22T22:39:10.000Z,/yunseongable/status/1672011372576792576
@Michael_safax,"Waduhh, pusyingg~ 
Ntar sore sihh gue ke PRJ lagii. Kali keduaaa...",in,1,,,28,2023-06-22T22:31:22.000Z,/Michael_safax/status/1672009412016500737
@sekar_epku,"Kesalahan.
Kalo beri info FYI aja.
Kalo paham, tapi tetap di lakukan itu kesalahan.
Tapi kalo nggak paham, diberi info.
Bukan kesalahan kalo nggak semua org paham lika liku PRJ",in,,1,,284,2023-06-22T22:29:55.000Z,/sekar_epku/status/1672009046604525568
@DukuhAtas1,Yuk sini ke prj bp,in,,,1,164,2023-06-22T22:14:25.000Z,/DukuhAtas1/status/1672005143599144961
@aquabiasa,Apa cuma gua disini yg belom pernah ke prj?-_-,in,1,,,49,2023-06-22T22:12:17.000Z,/aquabiasa/status/1672004607332220929
@arigetou,prj nder gas,in,,,,80,2023-06-22T22:11:01.000Z,/arigetou/status/1672004287218716673
@dellzitaz,Iya.. bener banget.. harus bawa cash krn sinyalnya ntat ntut  d sana mau operator apapun.. terutama di dlm2 hall.. kyknya sengaja di blok spy pd nikmatin prj tanpa main hape.. matiin hp spy gak lobet pas lg urgent mo pake,in,,,,"1,872",2023-06-22T22:03:21.000Z,/dellzitaz/status/1672002358417711105
@kencilii,"jangankan prj, pasar malem tjap toendjoengan aja kemaren ga nemu nemu temen",in,,,,148,2023-06-22T21:58:42.000Z,/kencilii/status/1672001188722806784
@amoxicillys,pgn ke prj tp sendirian ribet ga sih kek orang ilang segala wkwkwk yuk siapa mau barengan,in,13,,3,22.9K,2023-06-22T21:58:16.000Z,/amoxicillys/status/1672001081117921280
@detikfinance,Pekan Raya Jakarta (PRJ) atau Jakarta Fair Kemayoran kembali hadir menyemarakkan ulang tahun DKI Jakarta,in,,,,594,2023-06-22T21:47:31.000Z,/detikfinance/status/1671998375036583938
@anaahniar,Konser di PRJ cuma sejam shay,in,1,,,"1,476",2023-06-22T21:43:19.000Z,/anaahniar/status/1671997318533648384
@tttiiiccceee,Copet sm jambret di prj kira2 ada backingan oknum isilop ga yh? ,in,,,,237,2023-06-22T21:37:20.000Z,/tttiiiccceee/status/1671995810551300099
@glachious,pengen ke prj ,in,,,,36,2023-06-22T21:35:54.000Z,/glachious/status/1671995452714262530
@tttiiiccceee,Diskonnya sama rame nya orang yg bersuka cita bang. Copet aja jg bersuka cita di prj kok ,in,,,,284,2023-06-22T21:33:32.000Z,/tttiiiccceee/status/1671994856657534976
@gunawan21AS,"Dulu beberapa thn lalu sblm covid, ke prj enjoy aja, hari apapun tiket ots msh worth lah, makin ksini makin riweh+harga tiket makin mahal, konser ama exhibition beda harga, jdi mikir2 mau ke prj klo ga pnting2 bgt sih",in,,1,4,"2,350",2023-06-22T21:20:32.000Z,/gunawan21AS/status/1671991582944559105
@gkjlslo,Yeye ke prj,in,,,,43,2023-06-22T20:58:20.000Z,/gkjlslo/status/1671985995712196611
@pickupone_44,prj for lyf,in,,,,10,2023-06-22T20:23:04.000Z,/pickupone_44/status/1671977122066468864
@sarungkhasindo,Pengen si ke prj tpi pengen nya pas weekday biar gk terlalu rame,in,,,,88,2023-06-22T20:09:45.000Z,/sarungkhasindo/status/1671973771765481472
