,like,reply,retweet,time,username,clean,prediction
0,0,0,0,2023-07-08 16:16:02,@seyn1101,prj,1
2,0,0,0,2023-07-08 16:16:02,@seyn1101,penuh,1
4,0,0,0,2023-07-08 16:16:02,@seyn1101,iya,1
6,0,0,0,2023-07-08 16:15:46,@chupaahupss,paling,1
7,0,0,0,2023-07-08 16:15:46,@chupaahupss,aneh,1
9,0,0,0,2023-07-08 16:15:46,@chupaahupss,tiba,1
10,0,0,0,2023-07-08 16:15:46,@chupaahupss,aku,1
12,0,0,0,2023-07-08 16:15:46,@chupaahupss,prj,1
15,0,0,0,2023-07-08 16:05:22,@klmneedfood,prj,1
16,0,0,0,2023-07-08 16:05:22,@klmneedfood,sendiri,1
17,0,0,0,2023-07-08 16:05:22,@klmneedfood,bismillah,1
19,0,0,0,2023-07-08 16:05:22,@klmneedfood,dulu,1
20,0,0,0,2023-07-08 16:05:22,@klmneedfood,hilang,1
21,0,0,0,2023-07-08 16:05:22,@klmneedfood,stre,1
22,0,0,0,2023-07-08 16:03:51,@CitizensMills,ramai,1
23,0,0,0,2023-07-08 16:03:51,@CitizensMills,banget,1
24,0,0,0,2023-07-08 16:03:51,@CitizensMills,iya,1
25,0,0,0,2023-07-08 16:03:51,@CitizensMills,prj,1
26,0,0,0,2023-07-08 16:00:01,@cacaicaaci,orang,1
27,0,0,0,2023-07-08 16:00:01,@cacaicaaci,orang,1
29,0,0,0,2023-07-08 16:00:01,@cacaicaaci,prj,1
30,0,0,0,2023-07-08 16:00:01,@cacaicaaci,kapai,1
31,0,0,0,2023-07-08 16:00:01,@cacaicaaci,sih,1
32,0,0,0,2023-07-08 15:59:50,@cshndraa,tonton,1
33,0,0,0,2023-07-08 15:59:50,@cshndraa,vid,1
34,0,0,0,2023-07-08 15:59:50,@cshndraa,prj,1
35,0,0,0,2023-07-08 15:59:50,@cshndraa,kemarin,1
36,0,0,0,2023-07-08 15:59:50,@cshndraa,padahal,1
41,0,0,0,2023-07-08 15:59:50,@cshndraa,ditangisin,1
42,0,0,0,2023-07-08 15:59:50,@cshndraa,iya,1
44,0,0,0,2023-07-08 15:59:50,@cshndraa,knapa,1
46,0,0,0,2023-07-08 15:59:50,@cshndraa,mnangis,1
48,0,0,0,2023-07-08 15:59:50,@cshndraa,awal,1
50,0,0,0,2023-07-08 15:59:50,@cshndraa,akhielr,1
51,0,0,0,2023-07-08 15:59:50,@cshndraa,wkwkwkwkk,1
52,0,0,0,2023-07-08 15:59:50,@cshndraa,kayak,1
53,0,0,0,2023-07-08 15:59:50,@cshndraa,mikir,1
54,0,0,0,2023-07-08 15:59:50,@cshndraa,bjir,1
55,0,0,0,2023-07-08 15:59:50,@cshndraa,entar,1
56,0,0,0,2023-07-08 15:59:50,@cshndraa,enggak,1
58,0,0,0,2023-07-08 15:59:50,@cshndraa,lihat,1
60,0,0,0,2023-07-08 15:59:50,@cshndraa,nyanyi,1
61,0,0,0,2023-07-08 15:59:50,@cshndraa,tari,1
63,0,0,0,2023-07-08 15:59:50,@cshndraa,senyum,1
64,0,0,0,2023-07-08 15:59:50,@cshndraa,lebar,1
65,0,0,0,2023-07-08 15:59:50,@cshndraa,begini,1
67,0,0,0,2023-07-08 15:59:50,@cshndraa,cuy,1
68,0,0,0,2023-07-08 15:57:04,@dianelsyaa,open,1
69,0,0,0,2023-07-08 15:57:04,@dianelsyaa,jastip,1
70,0,0,0,2023-07-08 15:57:04,@dianelsyaa,prj,1
72,0,0,0,2023-07-08 15:57:04,@dianelsyaa,mau,1
73,0,0,0,2023-07-08 15:57:04,@dianelsyaa,dm,1
74,0,0,0,2023-07-08 15:57:04,@dianelsyaa,iya,1
75,0,0,0,2023-07-08 15:54:56,@nextart__,hebat,1
76,0,0,0,2023-07-08 15:54:56,@nextart__,banget,1
77,0,0,0,2023-07-08 15:54:56,@nextart__,orang,1
78,0,0,0,2023-07-08 15:54:56,@nextart__,orang,1
80,0,0,0,2023-07-08 15:54:56,@nextart__,kuat,1
81,0,0,0,2023-07-08 15:54:56,@nextart__,keliling,1
82,0,0,0,2023-07-08 15:54:56,@nextart__,jakarta,1
83,0,0,0,2023-07-08 15:54:56,@nextart__,fair,1
84,0,0,0,2023-07-08 15:54:56,@nextart__,terus,1
85,0,0,0,2023-07-08 15:54:56,@nextart__,bawa,1
86,0,0,0,2023-07-08 15:54:56,@nextart__,banyak,1
87,0,0,0,2023-07-08 15:54:56,@nextart__,tenteng,1
88,0,0,0,2023-07-08 15:54:00,@urcoldbrew,cari,1
89,0,0,0,2023-07-08 15:54:00,@urcoldbrew,parkir,1
91,0,0,0,2023-07-08 15:54:00,@urcoldbrew,prj,1
93,0,0,0,2023-07-08 15:54:00,@urcoldbrew,jam,1
94,0,0,0,2023-07-08 15:54:00,@urcoldbrew,sendiri,1
95,0,0,0,2023-07-08 15:54:00,@urcoldbrew,anjing,1
96,0,0,0,2023-07-08 15:51:14,@mschoiyu,prj,0
97,0,0,0,2023-07-08 15:51:14,@mschoiyu,more,0
98,0,0,0,2023-07-08 15:51:14,@mschoiyu,like,0
99,0,0,0,2023-07-08 15:51:14,@mschoiyu,kumpul,0
100,0,0,0,2023-07-08 15:51:14,@mschoiyu,rakyat,0
101,0,0,0,2023-07-08 15:51:14,@mschoiyu,jabodetabek,0
102,0,0,0,2023-07-08 15:51:14,@mschoiyu,tahan,0
103,0,0,0,2023-07-08 15:51:14,@mschoiyu,pekan,0
104,0,0,0,2023-07-08 15:51:14,@mschoiyu,raya,0
105,0,0,0,2023-07-08 15:51:14,@mschoiyu,jakarta,0
106,0,0,0,2023-07-08 15:42:48,@chacha_stp,kok,1
107,0,0,0,2023-07-08 15:42:48,@chacha_stp,kamu,1
108,0,0,0,2023-07-08 15:42:48,@chacha_stp,gemas,1
109,0,0,0,2023-07-08 15:42:48,@chacha_stp,banget,1
110,0,0,0,2023-07-08 15:42:48,@chacha_stp,klarifikasi,1
112,0,0,0,2023-07-08 15:42:48,@chacha_stp,ambek,1
114,0,0,0,2023-07-08 15:42:48,@chacha_stp,hahaha,1
115,0,0,0,2023-07-08 15:42:48,@chacha_stp,iya,1
116,0,0,0,2023-07-08 15:42:48,@chacha_stp,ngelap,1
117,0,0,0,2023-07-08 15:42:48,@chacha_stp,keringet,1
119,0,0,0,2023-07-08 15:42:48,@chacha_stp,kamu,1
121,0,0,0,2023-07-08 15:42:48,@chacha_stp,prj,1
122,0,0,0,2023-07-08 15:42:48,@chacha_stp,kemarin,1
123,0,0,0,2023-07-08 15:42:48,@chacha_stp,campur,1
124,0,0,0,2023-07-08 15:42:48,@chacha_stp,kena,1
125,0,0,0,2023-07-08 15:42:48,@chacha_stp,air,1
126,0,0,0,2023-07-08 15:42:48,@chacha_stp,hujan,1
129,0,0,0,2023-07-08 15:42:48,@chacha_stp,kamu,1
130,0,0,0,2023-07-08 15:42:48,@chacha_stp,gemas,1
131,0,0,0,2023-07-08 15:42:48,@chacha_stp,banget,1
132,0,0,0,2023-07-08 15:42:48,@chacha_stp,sumpah,1
134,0,0,0,2023-07-08 15:42:45,@dobbydoppang,prj,0
136,0,0,0,2023-07-08 15:42:45,@dobbydoppang,setel,0
137,0,0,0,2023-07-08 15:42:45,@dobbydoppang,lagu,0
138,0,0,0,2023-07-08 15:42:45,@dobbydoppang,kamu,0
139,0,0,0,2023-07-08 15:42:45,@dobbydoppang,enggak,0
140,0,0,0,2023-07-08 15:42:45,@dobbydoppang,sendiri,0
141,0,0,0,2023-07-08 15:42:45,@dobbydoppang,kangen,0
142,0,0,0,2023-07-08 15:42:45,@dobbydoppang,sekolaah,0
144,0,1,0,2023-07-08 15:35:25,@tbfhyeol,prj,0
146,0,1,0,2023-07-08 15:35:25,@tbfhyeol,gue,0
147,0,1,0,2023-07-08 15:35:25,@tbfhyeol,buat,0
148,0,1,0,2023-07-08 15:35:25,@tbfhyeol,apa,0
149,0,0,0,2023-07-08 15:34:49,@WrPecel,okehh,1
150,0,0,0,2023-07-08 15:34:49,@WrPecel,lah,1
154,0,0,0,2023-07-08 15:34:49,@WrPecel,tidur,1
157,0,0,0,2023-07-08 15:34:49,@WrPecel,sih,1
158,0,0,0,2023-07-08 15:34:49,@WrPecel,tidur,1
160,0,0,0,2023-07-08 15:34:49,@WrPecel,cukup,1
162,0,0,0,2023-07-08 15:34:49,@WrPecel,ci,1
163,0,0,0,2023-07-08 15:34:49,@WrPecel,isyaallah,1
164,0,0,0,2023-07-08 15:34:49,@WrPecel,cici,1
166,0,0,0,2023-07-08 15:34:49,@WrPecel,datang,1
169,0,0,0,2023-07-08 15:34:49,@WrPecel,solo,1
170,0,0,0,2023-07-08 15:34:49,@WrPecel,iya,1
172,0,0,0,2023-07-08 15:34:49,@WrPecel,tahu,1
175,0,0,0,2023-07-08 15:34:49,@WrPecel,prj,1
176,0,0,0,2023-07-08 15:34:49,@WrPecel,cuma,1
177,0,0,0,2023-07-08 15:34:49,@WrPecel,keringat,1
178,0,0,0,2023-07-08 15:34:49,@WrPecel,pokok,1
179,0,0,0,2023-07-08 15:34:49,@WrPecel,lama,1
180,0,0,0,2023-07-08 15:34:49,@WrPecel,cici,1
181,0,0,0,2023-07-08 15:34:49,@WrPecel,baik,1
183,0,0,0,2023-07-08 15:34:49,@WrPecel,senang,1
186,0,0,0,2023-07-08 15:34:49,@WrPecel,bakal,1
188,0,0,0,2023-07-08 15:34:49,@WrPecel,kok,1
189,0,0,0,2023-07-08 15:34:49,@WrPecel,ikut,1
190,0,0,0,2023-07-08 15:34:49,@WrPecel,senang,1
192,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,heels,0
193,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,bikin,0
194,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,sikil,0
195,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,gue,0
196,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,lecet,0
199,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,prj,0
200,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,pakai,0
201,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,heels,0
202,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,memang,0
203,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,dasar,0
204,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,nya,0
205,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,gue,0
207,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,dongo,0
208,0,0,0,2023-07-08 15:29:46,·,prj,1
209,0,0,0,2023-07-08 15:29:46,·,konser,1
211,0,0,0,2023-07-08 15:29:46,·,mulai,1
212,0,0,0,2023-07-08 15:29:46,·,sama,1
213,0,0,0,2023-07-08 15:29:46,·,kelar,1
214,0,0,0,2023-07-08 15:29:46,·,jam,1
215,0,0,0,2023-07-08 15:29:46,·,berapa,1
216,0,0,0,2023-07-08 15:29:46,·,sih,1
217,0,0,0,2023-07-08 15:27:42,@Aprilichee,main,1
219,0,0,0,2023-07-08 15:27:42,@Aprilichee,prj,1
220,0,0,0,2023-07-08 15:27:42,@Aprilichee,mau,1
221,0,0,0,2023-07-08 15:27:42,@Aprilichee,lihat,1
222,0,0,0,2023-07-08 15:27:42,@Aprilichee,skincarw,1
223,0,0,0,2023-07-08 15:27:42,@Aprilichee,auto,1
224,0,0,0,2023-07-08 15:27:42,@Aprilichee,enggak,1
225,0,0,0,2023-07-08 15:27:42,@Aprilichee,jadi,1
226,0,0,0,2023-07-08 15:25:46,@aerillii,prj,0
227,0,0,0,2023-07-08 15:25:46,@aerillii,ramai,0
228,0,0,0,2023-07-08 15:25:46,@aerillii,pol,0
229,0,0,0,2023-07-08 15:25:46,@aerillii,pusing,0
230,0,1,0,2023-07-08 15:21:47,@luttfiee,prj,0
232,0,1,0,2023-07-08 15:21:47,@luttfiee,tempat,0
233,0,1,0,2023-07-08 15:21:47,@luttfiee,jogging,0
234,0,1,0,2023-07-08 15:21:47,@luttfiee,baik,0
236,0,1,0,2023-07-08 15:21:47,@luttfiee,jakarta,0
240,0,0,0,2023-07-08 15:21:38,@nauufalind,enggak,1
241,0,0,0,2023-07-08 15:21:38,@nauufalind,jadi,1
243,0,0,0,2023-07-08 15:21:38,@nauufalind,prj,1
244,0,0,0,2023-07-08 15:21:38,@nauufalind,sih,1
246,0,0,0,2023-07-08 15:21:38,@nauufalind,tiket,1
247,0,0,0,2023-07-08 15:21:38,@nauufalind,jangan,1
248,0,0,0,2023-07-08 15:21:38,@nauufalind,hapus,1
250,0,0,0,2023-07-08 15:21:38,@nauufalind,lah,1
251,0,0,0,2023-07-08 15:21:38,@nauufalind,tertawa,1
253,0,0,0,2023-07-08 15:21:38,@nauufalind,banget,1
254,0,0,0,2023-07-08 15:21:38,@nauufalind,mau,1
255,0,0,0,2023-07-08 15:21:38,@nauufalind,sama,1
256,0,0,0,2023-07-08 15:21:38,@nauufalind,orang,1
258,0,0,0,2023-07-08 15:21:38,@nauufalind,tertawa,1
259,0,0,0,2023-07-08 15:16:46,@JakartaFairID,sobat,1
260,0,0,0,2023-07-08 15:16:46,@JakartaFairID,jfk,1
261,0,0,0,2023-07-08 15:16:46,@JakartaFairID,sini,1
263,0,0,0,2023-07-08 15:16:46,@JakartaFairID,enggak,1
267,0,0,0,2023-07-08 15:16:46,@JakartaFairID,pengin,1
268,0,0,0,2023-07-08 15:16:46,@JakartaFairID,konsultasi,1
269,0,0,0,2023-07-08 15:16:46,@JakartaFairID,gigi,1
270,0,0,0,2023-07-08 15:16:46,@JakartaFairID,mulut,1
271,0,0,0,2023-07-08 15:16:46,@JakartaFairID,nah,1
273,0,0,0,2023-07-08 15:16:46,@JakartaFairID,hall,1
274,0,0,0,2023-07-08 15:16:46,@JakartaFairID,sobat,1
275,0,0,0,2023-07-08 15:16:46,@JakartaFairID,jfk,1
277,0,0,0,2023-07-08 15:16:46,@JakartaFairID,laku,1
278,0,0,0,2023-07-08 15:16:46,@JakartaFairID,konsultasi,1
279,0,0,0,2023-07-08 15:16:46,@JakartaFairID,cara,1
280,0,0,0,2023-07-08 15:16:46,@JakartaFairID,gratis,1
281,0,0,0,2023-07-08 15:16:46,@JakartaFairID,tinggal,1
282,0,0,0,2023-07-08 15:16:46,@JakartaFairID,hari,1
284,0,0,0,2023-07-08 15:16:46,@JakartaFairID,lho,1
285,0,0,0,2023-07-08 15:16:46,@JakartaFairID,kapan,1
287,0,0,0,2023-07-08 15:16:46,@JakartaFairID,kan,1
289,0,0,0,2023-07-08 15:16:46,@JakartaFairID,konsultasi,1
290,0,0,0,2023-07-08 15:16:46,@JakartaFairID,gigi,1
291,0,0,0,2023-07-08 15:16:46,@JakartaFairID,mulut,1
292,0,0,0,2023-07-08 15:16:46,@JakartaFairID,gratis,1
293,0,2,0,2023-07-08 15:14:54,@istringstream,buset,1
294,0,2,0,2023-07-08 15:14:54,@istringstream,berapa,1
295,0,2,0,2023-07-08 15:14:54,@istringstream,kali,1
297,0,2,0,2023-07-08 15:14:54,@istringstream,aku,1
298,0,2,0,2023-07-08 15:14:54,@istringstream,lihat,1
299,0,2,0,2023-07-08 15:14:54,@istringstream,teman,1
300,0,2,0,2023-07-08 15:14:54,@istringstream,aku,1
301,0,2,0,2023-07-08 15:14:54,@istringstream,sama,1
302,0,2,0,2023-07-08 15:14:54,@istringstream,cewenya,1
304,0,2,0,2023-07-08 15:14:54,@istringstream,prj,1
305,0,2,0,2023-07-08 15:14:54,@istringstream,gapapa,1
306,0,2,0,2023-07-08 15:14:54,@istringstream,sih,1
307,0,2,0,2023-07-08 15:14:54,@istringstream,iri,1
309,0,2,0,2023-07-08 15:14:54,@istringstream,lihat,1
310,0,2,0,2023-07-08 15:14:54,@istringstream,wkwkw,1
311,0,1,0,2023-07-08 15:14:34,@phrod1te_,yeu,0
312,0,1,0,2023-07-08 15:14:34,@phrod1te_,sok,0
313,0,1,0,2023-07-08 15:14:34,@phrod1te_,an,0
314,0,1,0,2023-07-08 15:14:34,@phrod1te_,mukbang,0
316,0,1,0,2023-07-08 15:14:34,@phrod1te_,prj,0
317,0,1,0,2023-07-08 15:14:34,@phrod1te_,makan,0
318,0,1,0,2023-07-08 15:14:34,@phrod1te_,shihlin,0
320,0,1,0,2023-07-08 15:14:34,@phrod1te_,kenyang,0
321,0,2,0,2023-07-08 15:08:23,@psycho666by,selamat,1
322,0,2,0,2023-07-08 15:08:23,@psycho666by,sore,1
323,0,2,0,2023-07-08 15:08:23,@psycho666by,jodoh,1
325,0,2,0,2023-07-08 15:08:23,@psycho666by,tunggu,1
327,0,2,0,2023-07-08 15:08:23,@psycho666by,prj,1
330,0,2,0,2023-07-08 15:08:23,@psycho666by,enggak,1
331,0,2,0,2023-07-08 15:08:23,@psycho666by,mau,1
332,0,2,0,2023-07-08 15:08:23,@psycho666by,ketemu,1
333,0,2,0,2023-07-08 15:08:23,@psycho666by,dulu,1
334,0,2,0,2023-07-08 15:08:23,@psycho666by,wkwk,1
335,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,teman,1
336,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,mau,1
337,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,tanya,1
339,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,nge,1
340,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,kos,1
342,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,biaya,1
343,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,listrik,1
344,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,tanggung,1
345,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,sendiri,1
347,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,biaya,1
348,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,listrik,1
349,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,ac,1
350,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,tanggung,1
351,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,sendiri,1
353,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,enggak,1
354,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,terima,1
355,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,kasih,1
356,0,0,0,2023-07-08 14:58:12,@fitri_pus,main,1
358,0,0,0,2023-07-08 14:58:12,@fitri_pus,prj,1
359,0,0,0,2023-07-08 14:58:12,@fitri_pus,langsung,1
361,0,0,0,2023-07-08 14:58:12,@fitri_pus,main,1
363,0,0,0,2023-07-08 14:58:12,@fitri_pus,prj,1
364,0,0,0,2023-07-08 14:58:12,@fitri_pus,keliling,1
365,0,0,0,2023-07-08 14:58:12,@fitri_pus,jakarta,1
366,0,0,0,2023-07-08 14:58:12,@fitri_pus,dulu,1
368,0,0,0,2023-07-08 14:58:12,@fitri_pus,sesat,1
369,0,0,0,2023-07-08 14:56:53,@seojola,pland,1
371,0,0,0,2023-07-08 14:56:53,@seojola,prj,1
372,0,0,0,2023-07-08 14:56:53,@seojola,anak,1
373,0,0,0,2023-07-08 14:56:53,@seojola,kpop,1
374,0,0,0,2023-07-08 14:53:50,@chesaava,prj,1
375,0,0,0,2023-07-08 14:53:50,@chesaava,penuh,1
376,0,0,0,2023-07-08 14:53:50,@chesaava,banget,1
377,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,mobilitas,1
378,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,minggu,1
380,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,benar,1
381,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,satset,1
382,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,iya,1
383,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,kamis,1
385,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,prj,1
386,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,jumat,1
388,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,puncak,1
389,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,sabtu,1
390,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,balik,1
392,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,puncak,1
393,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,transit,1
395,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,kantor,1
396,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,langsung,1
398,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,travel,1
399,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,buat,1
400,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,tuju,1
401,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,bandung,1
403,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,senin,1
405,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,wfh,1
407,0,1,0,2023-07-08 14:49:38,@Sillyiliy,tiket,1
408,0,1,0,2023-07-08 14:49:38,@Sillyiliy,konser,1
409,0,1,0,2023-07-08 14:49:38,@Sillyiliy,gratis,1
411,0,1,0,2023-07-08 14:49:38,@Sillyiliy,jakarta,1
412,0,1,0,2023-07-08 14:49:38,@Sillyiliy,fair,1
413,0,1,0,2023-07-08 14:49:38,@Sillyiliy,mayor,1
415,0,1,0,2023-07-08 14:49:38,@Sillyiliy,hari,1
416,0,1,0,2023-07-08 14:49:38,@Sillyiliy,jum,1
417,0,1,0,2023-07-08 14:49:38,@Sillyiliy,at,1
418,0,1,0,2023-07-08 14:49:38,@Sillyiliy,pagi,1
420,0,1,0,2023-07-08 14:49:38,@Sillyiliy,teman,1
421,0,1,0,2023-07-08 14:49:38,@Sillyiliy,kantor,1
422,0,1,0,2023-07-08 14:49:38,@Sillyiliy,heboh,1
423,0,1,0,2023-07-08 14:49:38,@Sillyiliy,ajak,1
425,0,1,0,2023-07-08 14:49:38,@Sillyiliy,prj,1
426,0,1,0,2023-07-08 14:49:38,@Sillyiliy,pekan,1
427,0,1,0,2023-07-08 14:49:38,@Sillyiliy,raya,1
428,0,1,0,2023-07-08 14:49:38,@Sillyiliy,jakarta,1
429,0,1,0,2023-07-08 14:49:38,@Sillyiliy,jakarta,1
430,0,1,0,2023-07-08 14:49:38,@Sillyiliy,fair,1
433,0,1,0,2023-07-08 14:49:38,@Sillyiliy,notabene,1
434,0,1,0,2023-07-08 14:49:38,@Sillyiliy,suka,1
435,0,1,0,2023-07-08 14:49:38,@Sillyiliy,capek,1
438,0,1,0,2023-07-08 14:49:38,@Sillyiliy,tempat,1
439,0,1,0,2023-07-08 14:49:38,@Sillyiliy,ramai,1
440,0,1,0,2023-07-08 14:49:38,@Sillyiliy,awalny,1
441,0,1,0,2023-07-08 14:49:38,@Sillyiliy,nolak,1
443,0,1,0,2023-07-08 14:49:38,@Sillyiliy,akhirny,1
444,0,1,0,2023-07-08 14:49:38,@Sillyiliy,mau,1
445,0,1,0,2023-07-08 14:49:38,@Sillyiliy,iya,1
446,0,1,0,2023-07-08 14:49:38,@Sillyiliy,sekal,1
447,0,1,0,2023-07-08 14:49:38,@Sillyiliy,kata,1
448,0,1,0,2023-07-08 14:49:38,@Sillyiliy,orang,1
449,0,1,0,2023-07-08 14:49:38,@Sillyiliy,kampung,1
451,0,1,0,2023-07-08 14:49:38,@Sillyiliy,tahu,1
452,0,1,0,2023-07-08 14:49:38,@Sillyiliy,prj,1
453,0,1,0,2023-07-08 14:49:38,@Sillyiliy,kayak,1
454,0,1,0,2023-07-08 14:49:38,@Sillyiliy,mana,1
455,0,1,0,2023-07-08 14:49:38,@Sillyiliy,hmm,1
456,0,1,0,2023-07-08 14:42:23,@nanasyyxx,enggak,0
