,like,reply,retweet,time,username,status,tweet_link,prediction,hashtag
10,0,0,0,2023-07-08 15:42:48,@chacha_stp,1677599100932595712,https://twitter.com/@chacha_stp/status/1677599100932595712,1,#PeShan
13,0,0,0,2023-07-08 15:34:49,@WrPecel,1677597092188127234,https://twitter.com/@WrPecel/status/1677597092188127234,1,#PeShan
20,0,0,0,2023-07-08 15:16:46,@JakartaFairID,1677592549786271744,https://twitter.com/@JakartaFairID/status/1677592549786271744,1,#JakartaFair2023
35,0,0,0,2023-07-08 14:27:11,@sehunapiyak10,1677580071148875776,https://twitter.com/@sehunapiyak10/status/1677580071148875776,1,#JakartaFair2023
37,0,0,0,2023-07-08 14:24:38,@hariowcks,1677579431286820864,https://twitter.com/@hariowcks/status/1677579431286820864,1,#PeShan
38,0,0,0,2023-07-08 14:23:50,@Fais_KW,1677579227120664576,https://twitter.com/@Fais_KW/status/1677579227120664576,1,#PeShan
53,0,0,2,2023-07-08 13:31:00,@elleminerale,1677565932221386752,https://twitter.com/@elleminerale/status/1677565932221386752,0,#zonauang
54,0,0,2,2023-07-08 13:31:00,@elleminerale,1677565932221386752,https://twitter.com/@elleminerale/status/1677565932221386752,0,#zonaprj
73,0,0,0,2023-07-08 12:22:41,@JakartaFairID,1677548739622481920,https://twitter.com/@JakartaFairID/status/1677548739622481920,1,#JakartaFair2023
74,0,0,0,2023-07-08 12:22:41,@JakartaFairID,1677548739622481920,https://twitter.com/@JakartaFairID/status/1677548739622481920,1,#JakartaFair
82,0,0,0,2023-07-08 11:48:34,@ccheelsieeu,1677540152460316672,https://twitter.com/@ccheelsieeu/status/1677540152460316672,1,#zonajajan
83,0,0,0,2023-07-08 11:48:34,@ccheelsieeu,1677540152460316672,https://twitter.com/@ccheelsieeu/status/1677540152460316672,1,#zonauang
84,0,0,0,2023-07-08 11:48:34,@ccheelsieeu,1677540152460316672,https://twitter.com/@ccheelsieeu/status/1677540152460316672,1,#zonaBU
86,0,2,0,2023-07-08 11:40:54,@JakartaFairID,1677538224296824833,https://twitter.com/@JakartaFairID/status/1677538224296824833,0,#JakartaFair2023
98,0,0,0,2023-07-08 10:51:00,@jaringanprima,1677525665346887680,https://twitter.com/@jaringanprima/status/1677525665346887680,1,#MudahPakaiPRIMA
100,0,0,0,2023-07-08 10:45:51,@Erwinnarif,1677524371710283777,https://twitter.com/@Erwinnarif/status/1677524371710283777,1,#FionyMail
121,2,0,0,2023-07-08 08:45:40,@JakartaFairID,1677494125321678853,https://twitter.com/@JakartaFairID/status/1677494125321678853,0,#JakartaFair2023
