,like,reply,retweet,time,username,text,status,tweet_link,clean,prediction
0,0,0,0,2023-07-08 16:16:02,@seyn1101,PRJ masih penuh aja yaaa,1677607464538345473,https://twitter.com/@seyn1101/status/1677607464538345473,prj masih penuh saja iya,1
1,0,0,0,2023-07-08 16:15:46,@chupaahupss,"yang paling aneh itu, tiba² gua di PRJ",1677607398125752321,https://twitter.com/@chupaahupss/status/1677607398125752321,yang paling aneh itu tiba aku di prj,1
2,0,0,0,2023-07-08 16:05:22,@klmneedfood,AKU KE PRJ SENDIRI  bismillah aja duluu ngilangin stress,1677604780078923777,https://twitter.com/@klmneedfood/status/1677604780078923777,saya ke prj sendiri bismillah saja dulu hilang stre,1
3,0,0,0,2023-07-08 16:03:51,@CitizensMills,Rame bgt ya prj,1677604399965958145,https://twitter.com/@CitizensMills/status/1677604399965958145,ramai banget iya prj,1
4,0,0,0,2023-07-08 16:00:01,@cacaicaaci,orang orang di prj ngapain sih,1677603433380216833,https://twitter.com/@cacaicaaci/status/1677603433380216833,orang orang di prj kapai sih,1
5,0,0,0,2023-07-08 15:59:50,@cshndraa,nonton vid prj kmaren pdhl kgk ad yg hrs ditangisin ya TP KNAPA SY MNANGIS DARI AWAL AMPE AKHIELR WKWKWKWKK kek mikir bjir ntar gbs liat dia nyanyi nari sambil senyum lebar gini lagii cuy ,1677603387045736453,https://twitter.com/@cshndraa/status/1677603387045736453,tonton vid prj kemarin padahal tidak ada yang harus ditangisin iya tapi knapa saya mnangis dari awal sampai akhielr wkwkwkwkk kayak mikir bjir entar enggak bisa lihat dia nyanyi tari sambil senyum lebar begini lagi cuy,1
6,0,0,0,2023-07-08 15:57:04,@dianelsyaa,"Open jastip PRJ,, yg mau DM ya",1677602692213141505,https://twitter.com/@dianelsyaa/status/1677602692213141505,open jastip prj yang mau dm iya,1
7,0,0,0,2023-07-08 15:54:56,@nextart__,Hebat bgt orang orang yg kuat keliling jakarta fair terus bawa banyak tentengan,1677602153928753152,https://twitter.com/@nextart__/status/1677602153928753152,hebat banget orang orang yang kuat keliling jakarta fair terus bawa banyak tenteng,1
8,0,0,0,2023-07-08 15:54:00,@urcoldbrew,nyari parkir di prj bisa sejam sendiri anjing,1677601919932723200,https://twitter.com/@urcoldbrew/status/1677601919932723200,cari parkir di prj bisa jam sendiri anjing,1
9,0,0,0,2023-07-08 15:51:14,@mschoiyu,PRJ more like Perkumpulan Rakyat Jabodetabek than Pekan Raya Jakarta,1677601224269635585,https://twitter.com/@mschoiyu/status/1677601224269635585,prj more like kumpul rakyat jabodetabek tahan pekan raya jakarta,0
10,0,0,0,2023-07-08 15:42:48,@chacha_stp,"Kok km gemes bgt klarifikasi sambil ngambek gt hahahaaa  @N_ShaniJKT48  iyah2 ngelap keringet yah km di prj kmrn campur kena air hujan yah, tp km gemes bgt sumpah #PeShan",1677599100932595712,https://twitter.com/@chacha_stp/status/1677599100932595712,kok kamu gemas banget klarifikasi sambil ambek begitu hahaha iya ngelap keringet ya kamu di prj kemarin campur kena air hujan ya tapi kamu gemas banget sumpah,1
11,0,0,0,2023-07-08 15:42:45,@dobbydoppang,di PRJ di setel lagu kamu ga sendirian anjirrrr kangen sekolaahhhh ,1677599088857223168,https://twitter.com/@dobbydoppang/status/1677599088857223168,di prj di setel lagu kamu enggak sendiri kangen sekolaah,0
12,0,1,0,2023-07-08 15:35:25,@tbfhyeol,Ke prj 2x tuh gw buat apaaaaa,1677597241928978432,https://twitter.com/@tbfhyeol/status/1677597241928978432,ke prj itu gue buat apa,0
13,0,0,0,2023-07-08 15:34:49,@WrPecel,"okeeehh lah kalo masih bisa tidur, kalo bisa sih tidur yang cukup yaa ci. isyaallah cici aku dateng yang di solo iyaaa aku tau yang di PRJ cuma keringat. pokoknya selama cici baik2 dan seneng aku juga bakal begitu kok ikut senang juga   @N_ShaniJKT48  #PeShan",1677597092188127234,https://twitter.com/@WrPecel/status/1677597092188127234,okehh lah jika masih bisa tidur jika bisa sih tidur yang cukup ya ci isyaallah cici saya datang yang di solo iya saya tahu yang di prj cuma keringat pokok lama cici baik dan senang saya juga bakal begitu kok ikut senang juga,1
14,0,0,0,2023-07-08 15:30:15,@sta4rgaz3e,"Heels bkin sikil gw lecet, lagian ke prj pake heels, emang dasar ny gw yang dongo",1677595941958979586,https://twitter.com/@sta4rgaz3e/status/1677595941958979586,heels bikin sikil gue lecet lagi ke prj pakai heels memang dasar nya gue yang dongo,0
15,0,0,0,2023-07-08 15:29:46,·,prj konsernya tuh mulainya sama kelarnya jam berapa sih,1677595822417125378,https://twitter.com/·/status/1677595822417125378,prj konser itu mulai sama kelar jam berapa sih,1
16,0,0,0,2023-07-08 15:27:42,@Aprilichee,Maen ke PRJ mau liat2 skincarw auto ga jadiii ,1677595300469538816,https://twitter.com/@Aprilichee/status/1677595300469538816,main ke prj mau lihat skincarw auto enggak jadi,1
17,0,0,0,2023-07-08 15:25:46,@aerillii,"prj rame pol anjir, pusing",1677594812684582914,https://twitter.com/@aerillii/status/1677594812684582914,prj ramai pol pusing,0
18,0,1,0,2023-07-08 15:21:47,@luttfiee,PRJ adalah tempat jogging terbaik di Jakarta untuk saat ini.,1677593809847451650,https://twitter.com/@luttfiee/status/1677593809847451650,prj adalah tempat jogging baik di jakarta untuk saat ini,0
19,0,0,0,2023-07-08 15:21:38,@nauufalind,gak jadi ke prj sih cuman tiketnya jangan dihapus juga lah haha gitu banget mau sama orang lain haha,1677593773294104578,https://twitter.com/@nauufalind/status/1677593773294104578,enggak jadi ke prj sih hanya tiket jangan hapus juga lah tertawa begitu banget mau sama orang lain tertawa,1
20,0,0,0,2023-07-08 15:16:46,@JakartaFairID,"Sobat JFK, disini ada gak nih yang lagi pengen KONSULTASI GIGI & MULUT? Nah! Di #JakartaFair2023 Hall B, Sobat JFK bisa melakukan KONSULTASI SECARA GRATIS!  Tinggal 8 hari lagi lho, kapan lagi kan bisa konsultasi gigi & mulut gratis?",1677592549786271744,https://twitter.com/@JakartaFairID/status/1677592549786271744,sobat jfk sini ada enggak ini yang lagi pengin konsultasi gigi mulut nah di hall sobat jfk bisa laku konsultasi cara gratis tinggal hari lagi lho kapan lagi kan bisa konsultasi gigi mulut gratis,1
21,0,2,0,2023-07-08 15:14:54,@istringstream,buset berapa kali nih gua liat temen gua sama cewenya ke prj gapapa si iri aja liatnya wkwkw,1677592081043443712,https://twitter.com/@istringstream/status/1677592081043443712,buset berapa kali ini aku lihat teman aku sama cewenya ke prj gapapa sih iri saja lihat wkwkw,1
22,0,1,0,2023-07-08 15:14:34,@phrod1te_,yeu sok2an mukbang di prj makan shihlin aja kenyang,1677591995810971649,https://twitter.com/@phrod1te_/status/1677591995810971649,yeu sok an mukbang di prj makan shihlin saja kenyang,0
23,0,2,0,2023-07-08 15:08:23,@psycho666by,"Selamat sore jodohku, aku tunggu di PRJ. Tapi aku gak mau ketemu dulu. Wkwk",1677590437643837440,https://twitter.com/@psycho666by/status/1677590437643837440,selamat sore jodoh saya tunggu di prj tapi saya enggak mau ketemu dulu wkwk,1
24,0,0,0,2023-07-08 15:03:11,@EmpyreanCyan,Guysss mau nanya yang nge kos. Kalo biaya listrik ditanggung sendiri itu biaya listriknya AC ditanggung sendiri juga nggak? Makasih,1677589132107993088,https://twitter.com/@EmpyreanCyan/status/1677589132107993088,teman mau tanya yang nge kos jika biaya listrik tanggung sendiri itu biaya listrik ac tanggung sendiri juga enggak terima kasih,1
25,0,0,0,2023-07-08 14:58:12,@fitri_pus,Main ke PRJ langsung sampe  Main ke PRJ keliling Jakarta dulu krn nyasar ,1677587877587488768,https://twitter.com/@fitri_pus/status/1677587877587488768,main ke prj langsung sampai main ke prj keliling jakarta dulu karena sesat,1
26,0,0,0,2023-07-08 14:56:53,@seojola,Pland tuh prj anak2 kpop,1677587546174521350,https://twitter.com/@seojola/status/1677587546174521350,pland itu prj anak kpop,1
27,0,0,0,2023-07-08 14:53:50,@chesaava,PRJ PENUH BANGET!!,1677586779346714624,https://twitter.com/@chesaava/status/1677586779346714624,prj penuh banget,1
28,0,1,0,2023-07-08 14:50:51,@karamelmakiaro,"Mobilitas minggu ini bener2 satset ya anjir... kamis ke prj, jumat ke puncak, sabtu balik dari puncak-transit di kantor-lgsg ke travel buat otw bandung karena senin harus wfh",1677586026641100800,https://twitter.com/@karamelmakiaro/status/1677586026641100800,mobilitas minggu ini benar satset iya kamis ke prj jumat ke puncak sabtu balik dari puncak transit di kantor langsung ke travel buat tuju bandung karena senin harus wfh,1
29,0,1,0,2023-07-08 14:49:38,@Sillyiliy,"Dapet Tiket Konser Gratis di Jakarta Fair Kemayoran.  Di hari Jum’at pagi tuh temen kantor heboh ngajak ke PRJ / Pekan Raya Jakarta / Jakarta Fair, aku yg notabene suka cape kalo ke tempat rame awalny nolak tp akhirny mau ya sesekali katanya org kampung biar tau PRJ kek mana hmm",1677585722700881922,https://twitter.com/@Sillyiliy/status/1677585722700881922,dapat tiket konser gratis di jakarta fair mayor di hari jum at pagi itu teman kantor heboh ajak ke prj pekan raya jakarta jakarta fair saya yang notabene suka capek jika ke tempat ramai awalny nolak tapi akhirny mau iya sekal kata orang kampung supaya tahu prj kayak mana hmm,1
30,0,1,0,2023-07-08 14:42:23,@nanasyyxx,ga sarapan nasi>>makan siang ga mood karena day1 period>>ngopi 3 botol di prj>>ga makan malem karena hectic abis dr prj>>tidur>>pagi jam 3 mual,1677583897402671104,https://twitter.com/@nanasyyxx/status/1677583897402671104,enggak sarap nasi makan siang enggak mood karena hari period ngopi botol di prj enggak makan malam karena hectic habis dari prj tidur pagi jam mual,0
31,0,1,0,2023-07-08 14:42:06,@jwkiten,bayangin lagi ke prj eh malah dapet red day ,1677583824535056385,https://twitter.com/@jwkiten/status/1677583824535056385,bayang lagi ke prj eh bahkan dapat redaksi hari,1
32,2,1,0,2023-07-08 14:39:11,@chitattoo_,Siapa yang ke PRJ hari ini? (Akuuu),1677583088971575296,https://twitter.com/@chitattoo_/status/1677583088971575296,siapa yang ke prj hari ini saya,0
33,0,0,0,2023-07-08 14:29:09,@ruangjimin,"ke ragunan yu ke monas ajaa ke prj aja yu eh jangan ke tempat setan setan aja yu, kota tua  aissh keluarga ini memang banyak wancana nya",1677580563878907905,https://twitter.com/@ruangjimin/status/1677580563878907905,ke ragunan yuk ke monas saja ke prj saja yuk eh jangan ke tempat setan setan saja yuk kota tua ai h keluarga ini memang banyak wancana nya,0
34,0,0,0,2023-07-08 14:27:37,@kharismadilaa,"Kalo open jastip PRJ 2023 terus pengirimannya dari Banjarnegara, Jawa Tengah. kira kira banyak yang mau ikut jastip ga ya? terus ntar purwokerto, purbalingga, sama banjarnegara udah aku kasih freeongkir jadi bayar fee jastip ajaa. Ada yg mau ga ya?",1677580180163018753,https://twitter.com/@kharismadilaa/status/1677580180163018753,jika open jastip prj terus kirim dari banjarnegara jawa tengah kira kira banyak yang mau ikut jastip enggak iya terus entar purwokerto purbalingga sama banjarnegara sudah saya kasih freeongkir jadi bayar fee jastip saja ada yang mau enggak iya,1
